path,filePattern,srcString,destString
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_HTRHV_DCB_0001,OCC_HTDHV_DCB_0002
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_LORHV_DCB_0001,OCC_LOWHV_DCB_0002
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_TARHV_DCB_0001,OCC_TAWHV_DCB_0002
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_HTRHV_MANI0003,OCC_HTDHV_MANI0003
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_HTRHV_MANI0005,OCC_HTDHV_MANI0005
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_HTRHV_MANI0001,OCC_HTDHV_MANI0001
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_HTRHV_MANI0004,OCC_HTDHV_MANI0004
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_HTRHV_MANI0002,OCC_HTDHV_MANI0002
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_TARHV_MANI0002,OCC_TAWHV_MANI0003
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_TARHV_MANI0003,OCC_TAWHV_MANI0004
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_TARHV_MANI0001,OCC_TAWHV_MANI0005
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_HTRHV_MOTI0001,OCC_HTDHV_MOTI0007
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_HTRHV_MOTI0002,OCC_HTDHV_MOTI0008
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_HTRHV_MOTI0003,OCC_HTDHV_MOTI0009
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_HTRHV_MOTI0004,OCC_HTDHV_MOTI0010
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_TARHV_MOTI0003,OCC_TAWHV_MOTI0006
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_TARHV_MOTI0001,OCC_TAWHV_MOTI0007
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_TARHV_MOTI0004,OCC_TAWHV_MOTI0008
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_TARHV_MOTI0002,OCC_TAWHV_MOTI0009
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_HTRHV_MOTI0005,OCC_HTDHV_MOTI0011
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_HTRHV_NTM30001,OCC_HTDHV_NTM30001
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_HTRHV_NTM30002,OCC_HTDHV_NTM30002
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_HTRHV_NTMI0001,OCC_HTDHV_NTMI0007
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_TARHV_NTMI0001,OCC_TAWHV_NTMI0005
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_HTRHV_NTMI0007,OCC_HTDHV_NTMI0008
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_HTRHV_NTMI0008,OCC_HTDHV_NTMI0009
.\src\devconf\10_MC_workspace_work\ImageProject_SCADAgen\,*.imageeditor,OCC_HTRHV_NTMI0009,OCC_HTDHV_NTMI0010
